session_length,discount,user_id,successful,mean_price,min_price,max_price,mean_rating,min_rating,max_rating,prev_success_ratio
0,0,103,0,58.97,58.97,58.97,2.7,2.7,2.7,0.0
383,0,103,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.0
683,0,103,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.5
1227,20,103,1,41.27,17.9,78.9,2.61,0.0,4.7,0.33
893,0,103,0,87.63,59.9,129.0,1.97,0.3,4.5,0.5
455,15,103,1,2150.34,1816.97,2317.02,1.53,0.2,4.2,0.4
0,0,103,0,58.97,58.97,58.97,2.7,2.7,2.7,0.5
125,20,103,1,99.99,99.99,99.99,0.5,0.5,0.5,0.43
1365,0,103,0,87.63,59.9,129.0,1.97,0.3,4.5,0.5
331,15,103,1,165.0,109.0,193.0,0.7,0.1,1.0,0.44
916,0,103,0,87.63,59.9,129.0,1.97,0.3,4.5,0.5
40,0,103,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.45
1801,15,103,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.42
1537,0,103,0,79.78,49.99,139.99,2.55,0.4,4.3,0.46
0,0,103,0,99.99,99.99,99.99,0.5,0.5,0.5,0.43
720,0,103,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.4
939,0,103,0,87.63,59.9,129.0,1.97,0.3,4.5,0.38
194,10,103,0,151.0,109.0,193.0,0.55,0.1,1.0,0.35
0,0,103,0,99.99,99.99,99.99,0.5,0.5,0.5,0.33
546,0,103,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.32
147,0,103,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.3
1555,0,103,0,43.4,17.9,78.9,2.4,0.0,4.7,0.29
156,0,103,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.27
1101,15,103,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.26
0,0,103,0,99.99,99.99,99.99,0.5,0.5,0.5,0.25
982,0,103,0,114.17,44.99,189.0,1.37,0.2,3.7,0.24
711,15,103,0,217.35,86.28,327.47,2.46,0.9,3.8,0.23
1215,0,103,0,114.17,44.99,189.0,1.37,0.2,3.7,0.22
1638,0,103,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.21
98,0,103,1,871.52,207.33,2199.9,2.6,2.5,2.8,0.21
1525,0,104,0,79.78,49.99,139.99,2.55,0.4,4.3,0.0
428,0,104,1,871.52,207.33,2199.9,2.6,2.5,2.8,0.0
0,15,104,0,553.0,553.0,553.0,4.7,4.7,4.7,0.5
257,0,104,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.33
1459,10,104,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.25
0,0,104,0,99.99,99.99,99.99,0.5,0.5,0.5,0.2
134,10,104,0,151.0,109.0,193.0,0.55,0.1,1.0,0.17
820,5,104,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.14
215,5,104,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.25
1081,0,104,0,114.17,44.99,189.0,1.37,0.2,3.7,0.22
0,0,104,0,58.97,58.97,58.97,2.7,2.7,2.7,0.2
873,0,104,1,84.35,49.99,139.99,2.71,0.4,4.3,0.18
38,5,104,0,71.85,64.8,78.9,2.5,0.4,4.6,0.25
1506,0,104,0,43.4,17.9,78.9,2.4,0.0,4.7,0.23
1454,5,104,0,114.17,44.99,189.0,1.37,0.2,3.7,0.21
0,0,104,0,553.0,553.0,553.0,4.7,4.7,4.7,0.2
766,0,104,0,217.35,86.28,327.47,2.46,0.9,3.8,0.19
530,20,104,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.18
0,0,104,0,99.99,99.99,99.99,0.5,0.5,0.5,0.17
1477,20,104,0,43.4,17.9,78.9,2.4,0.0,4.7,0.16
1330,20,104,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.15
53,0,104,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.14
1072,15,104,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.14
1006,0,104,0,43.4,17.9,78.9,2.4,0.0,4.7,0.13
0,0,104,0,99.99,99.99,99.99,0.5,0.5,0.5,0.12
0,0,104,0,553.0,553.0,553.0,4.7,4.7,4.7,0.12
0,20,104,0,58.97,58.97,58.97,2.7,2.7,2.7,0.12
128,0,104,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.11
483,0,104,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.11
33,15,104,0,151.0,109.0,193.0,0.55,0.1,1.0,0.1
165,0,104,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.1
554,0,104,0,217.35,86.28,327.47,2.46,0.9,3.8,0.1
207,10,104,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.09
0,15,104,0,553.0,553.0,553.0,4.7,4.7,4.7,0.09
196,0,105,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.0
177,10,105,1,2150.34,1816.97,2317.02,1.53,0.2,4.2,0.0
926,10,105,0,217.35,86.28,327.47,2.46,0.9,3.8,0.5
1287,0,105,0,114.17,44.99,189.0,1.37,0.2,3.7,0.33
1729,15,105,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.25
0,0,105,0,58.97,58.97,58.97,2.7,2.7,2.7,0.2
637,15,105,0,217.35,86.28,327.47,2.46,0.9,3.8,0.17
134,0,105,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.14
143,0,105,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.12
0,5,105,0,99.99,99.99,99.99,0.5,0.5,0.5,0.11
0,0,105,0,99.99,99.99,99.99,0.5,0.5,0.5,0.1
0,15,105,0,58.97,58.97,58.97,2.7,2.7,2.7,0.09
1475,0,106,0,43.4,17.9,78.9,2.4,0.0,4.7,0.0
1399,0,106,0,43.4,17.9,78.9,2.4,0.0,4.7,0.0
1514,0,106,0,114.17,44.99,189.0,1.37,0.2,3.7,0.0
0,0,106,0,58.97,58.97,58.97,2.7,2.7,2.7,0.0
151,5,106,0,151.0,109.0,193.0,0.55,0.1,1.0,0.0
222,0,106,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.0
1200,10,106,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.0
275,0,106,1,58.97,58.97,58.97,2.7,2.7,2.7,0.14
170,0,106,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.25
1616,0,106,0,79.78,49.99,139.99,2.55,0.4,4.3,0.22
700,0,106,0,217.35,86.28,327.47,2.46,0.9,3.8,0.2
0,0,106,0,553.0,553.0,553.0,4.7,4.7,4.7,0.18
0,5,106,0,553.0,553.0,553.0,4.7,4.7,4.7,0.17
774,0,106,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.15
0,0,106,0,99.99,99.99,99.99,0.5,0.5,0.5,0.21
263,15,106,1,553.0,553.0,553.0,4.7,4.7,4.7,0.2
182,0,106,0,151.0,109.0,193.0,0.55,0.1,1.0,0.25
108,20,106,1,58.97,58.97,58.97,2.7,2.7,2.7,0.24
0,0,106,0,553.0,553.0,553.0,4.7,4.7,4.7,0.28
677,0,106,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.26
1503,0,106,0,43.4,17.9,78.9,2.4,0.0,4.7,0.25
201,0,106,0,151.0,109.0,193.0,0.55,0.1,1.0,0.24
855,0,106,0,217.35,86.28,327.47,2.46,0.9,3.8,0.23
7,0,106,0,71.85,64.8,78.9,2.5,0.4,4.6,0.22
491,15,106,1,165.0,109.0,193.0,0.7,0.1,1.0,0.21
1286,5,106,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.24
1620,0,106,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.23
1303,15,106,1,41.27,17.9,78.9,2.61,0.0,4.7,0.22
361,0,106,0,217.35,86.28,327.47,2.46,0.9,3.8,0.25
107,20,106,1,99.99,99.99,99.99,0.5,0.5,0.5,0.24
212,5,106,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.27
1035,0,106,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.26
0,0,106,0,58.97,58.97,58.97,2.7,2.7,2.7,0.25
0,0,106,0,58.97,58.97,58.97,2.7,2.7,2.7,0.24
60,0,106,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.24
34,10,106,1,553.0,553.0,553.0,4.7,4.7,4.7,0.23
645,5,106,0,217.35,86.28,327.47,2.46,0.9,3.8,0.25
996,0,106,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.24
278,0,106,0,71.85,64.8,78.9,2.5,0.4,4.6,0.24
1328,0,106,1,84.35,49.99,139.99,2.71,0.4,4.3,0.23
99,0,106,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.25
1640,20,106,0,114.17,44.99,189.0,1.37,0.2,3.7,0.24
0,0,106,0,58.97,58.97,58.97,2.7,2.7,2.7,0.24
499,15,106,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.23
1755,0,106,0,43.4,17.9,78.9,2.4,0.0,4.7,0.23
152,5,106,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.22
249,20,106,1,99.99,99.99,99.99,0.5,0.5,0.5,0.22
1201,5,106,1,41.27,17.9,78.9,2.61,0.0,4.7,0.23
1011,0,106,0,43.4,17.9,78.9,2.4,0.0,4.7,0.25
7,0,106,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.24
0,15,106,0,58.97,58.97,58.97,2.7,2.7,2.7,0.24
604,5,106,0,114.17,44.99,189.0,1.37,0.2,3.7,0.24
82,5,106,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.23
119,0,106,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.23
1848,15,106,1,107.88,44.99,189.0,1.4,0.2,3.7,0.22
1558,0,106,0,43.4,17.9,78.9,2.4,0.0,4.7,0.24
1388,15,106,0,43.4,17.9,78.9,2.4,0.0,4.7,0.23
0,10,106,0,99.99,99.99,99.99,0.5,0.5,0.5,0.23
1211,0,106,0,43.4,17.9,78.9,2.4,0.0,4.7,0.22
145,0,106,1,99.99,99.99,99.99,0.5,0.5,0.5,0.22
221,0,106,0,151.0,109.0,193.0,0.55,0.1,1.0,0.23
1779,0,106,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.23
1614,0,106,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.23
28,0,106,1,553.0,553.0,553.0,4.7,4.7,4.7,0.24
1352,10,106,0,114.17,44.99,189.0,1.37,0.2,3.7,0.25
586,20,106,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.25
666,0,106,0,217.35,86.28,327.47,2.46,0.9,3.8,0.26
771,5,106,0,217.35,86.28,327.47,2.46,0.9,3.8,0.25
1489,0,106,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.25
1371,15,106,1,41.27,17.9,78.9,2.61,0.0,4.7,0.25
1202,5,106,0,43.4,17.9,78.9,2.4,0.0,4.7,0.26
1047,0,106,0,114.17,44.99,189.0,1.37,0.2,3.7,0.25
1133,15,106,1,84.35,49.99,139.99,2.71,0.4,4.3,0.25
379,10,106,1,871.52,207.33,2199.9,2.6,2.5,2.8,0.26
585,0,106,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.27
1571,5,106,0,87.63,59.9,129.0,1.97,0.3,4.5,0.27
433,5,106,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.26
0,15,107,0,553.0,553.0,553.0,4.7,4.7,4.7,0.0
1652,20,107,1,41.27,17.9,78.9,2.61,0.0,4.7,0.0
0,15,107,0,58.97,58.97,58.97,2.7,2.7,2.7,0.5
42,0,107,0,71.85,64.8,78.9,2.5,0.4,4.6,0.33
1656,20,107,0,43.4,17.9,78.9,2.4,0.0,4.7,0.25
499,5,107,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.2
154,0,107,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.17
0,15,107,0,553.0,553.0,553.0,4.7,4.7,4.7,0.14
1334,0,107,1,84.35,49.99,139.99,2.71,0.4,4.3,0.12
171,10,107,0,71.85,64.8,78.9,2.5,0.4,4.6,0.22
580,10,107,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.2
1110,10,107,0,87.63,59.9,129.0,1.97,0.3,4.5,0.27
240,0,107,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.25
0,0,107,0,553.0,553.0,553.0,4.7,4.7,4.7,0.23
691,0,107,0,217.35,86.28,327.47,2.46,0.9,3.8,0.21
1324,10,107,0,87.63,59.9,129.0,1.97,0.3,4.5,0.2
295,0,107,0,71.85,64.8,78.9,2.5,0.4,4.6,0.19
483,0,107,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.18
0,5,107,0,58.97,58.97,58.97,2.7,2.7,2.7,0.17
30,0,107,1,553.0,553.0,553.0,4.7,4.7,4.7,0.16
969,15,107,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.2
322,0,107,1,165.0,109.0,193.0,0.7,0.1,1.0,0.19
128,0,107,0,151.0,109.0,193.0,0.55,0.1,1.0,0.23
1317,20,107,0,114.17,44.99,189.0,1.37,0.2,3.7,0.22
1725,15,107,0,114.17,44.99,189.0,1.37,0.2,3.7,0.21
265,10,107,0,71.85,64.8,78.9,2.5,0.4,4.6,0.2
208,0,107,0,151.0,109.0,193.0,0.55,0.1,1.0,0.19
568,15,107,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.19
27,20,107,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.18
1141,0,107,0,114.17,44.99,189.0,1.37,0.2,3.7,0.17
1342,10,107,0,87.63,59.9,129.0,1.97,0.3,4.5,0.17
1538,15,107,0,87.63,59.9,129.0,1.97,0.3,4.5,0.16
10,0,107,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.16
164,15,107,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.15
426,15,107,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.15
172,0,107,0,151.0,109.0,193.0,0.55,0.1,1.0,0.14
0,15,107,0,99.99,99.99,99.99,0.5,0.5,0.5,0.14
0,0,107,0,553.0,553.0,553.0,4.7,4.7,4.7,0.14
1476,0,107,0,114.17,44.99,189.0,1.37,0.2,3.7,0.13
255,20,107,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.13
0,10,107,0,58.97,58.97,58.97,2.7,2.7,2.7,0.12
1565,0,107,1,852.44,269.0,3029.0,2.3,0.0,4.7,0.12
1195,5,107,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.14
1425,0,107,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.14
0,5,107,0,58.97,58.97,58.97,2.7,2.7,2.7,0.14
0,5,107,0,553.0,553.0,553.0,4.7,4.7,4.7,0.13
0,0,107,0,553.0,553.0,553.0,4.7,4.7,4.7,0.13
1368,15,107,0,87.63,59.9,129.0,1.97,0.3,4.5,0.13
317,0,107,1,165.0,109.0,193.0,0.7,0.1,1.0,0.12
204,0,107,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.14
1225,0,107,0,114.17,44.99,189.0,1.37,0.2,3.7,0.14
80,0,107,1,553.0,553.0,553.0,4.7,4.7,4.7,0.14
0,0,107,0,99.99,99.99,99.99,0.5,0.5,0.5,0.15
1550,0,107,0,43.4,17.9,78.9,2.4,0.0,4.7,0.15
151,0,107,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.15
225,0,107,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.15
123,15,107,0,71.85,64.8,78.9,2.5,0.4,4.6,0.14
1211,0,107,0,87.63,59.9,129.0,1.97,0.3,4.5,0.14
0,10,107,0,99.99,99.99,99.99,0.5,0.5,0.5,0.14
1312,0,107,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.14
1350,20,107,1,88.87,59.9,129.0,1.93,0.3,4.5,0.13
19,0,107,0,71.85,64.8,78.9,2.5,0.4,4.6,0.15
86,0,107,0,151.0,109.0,193.0,0.55,0.1,1.0,0.15
94,0,107,0,151.0,109.0,193.0,0.55,0.1,1.0,0.14
1458,15,107,0,114.17,44.99,189.0,1.37,0.2,3.7,0.14
1317,0,107,0,87.63,59.9,129.0,1.97,0.3,4.5,0.14
1793,15,107,0,79.78,49.99,139.99,2.55,0.4,4.3,0.14
285,20,107,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.13
0,20,107,0,58.97,58.97,58.97,2.7,2.7,2.7,0.13
337,0,107,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.13
1467,10,107,0,114.17,44.99,189.0,1.37,0.2,3.7,0.13
226,0,107,0,151.0,109.0,193.0,0.55,0.1,1.0,0.13
215,20,107,0,71.85,64.8,78.9,2.5,0.4,4.6,0.12
0,0,107,0,58.97,58.97,58.97,2.7,2.7,2.7,0.12
1245,20,107,0,79.78,49.99,139.99,2.55,0.4,4.3,0.12
281,0,107,0,151.0,109.0,193.0,0.55,0.1,1.0,0.12
1142,15,107,0,87.63,59.9,129.0,1.97,0.3,4.5,0.12
184,5,107,0,71.85,64.8,78.9,2.5,0.4,4.6,0.12
1592,0,107,0,79.78,49.99,139.99,2.55,0.4,4.3,0.12
1173,0,107,0,87.63,59.9,129.0,1.97,0.3,4.5,0.11
456,0,107,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.11
0,15,107,0,99.99,99.99,99.99,0.5,0.5,0.5,0.11
13,5,107,1,553.0,553.0,553.0,4.7,4.7,4.7,0.11
1399,0,107,0,79.78,49.99,139.99,2.55,0.4,4.3,0.12
634,0,107,0,217.35,86.28,327.47,2.46,0.9,3.8,0.12
1666,0,107,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.12
1198,0,107,0,114.17,44.99,189.0,1.37,0.2,3.7,0.12
1129,5,107,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.11
812,0,107,1,221.96,86.28,327.47,2.3,0.9,3.8,0.11
357,0,107,1,2150.34,1816.97,2317.02,1.53,0.2,4.2,0.12
227,10,107,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.13
1290,0,107,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.13
199,20,107,0,151.0,109.0,193.0,0.55,0.1,1.0,0.13
118,15,107,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.13
1408,0,107,0,114.17,44.99,189.0,1.37,0.2,3.7,0.13
0,0,107,0,58.97,58.97,58.97,2.7,2.7,2.7,0.13
1416,5,107,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.12
1198,20,107,0,114.17,44.99,189.0,1.37,0.2,3.7,0.12
