session_length,discount,user_id,successful,mean_price,min_price,max_price,mean_rating,min_rating,max_rating,prev_success_ratio,category_Akcesoria_telefoniczne,category_Anteny_RTV,category_Audio,category_Biurowe_urządzenia_wielofunkcyjne,category_Drukarki_i_skanery,category_Gry_PlayStation3,category_Gry_Xbox_360,category_Gry_i_konsole,category_Gry_komputerowe,category_Gry_na_konsole,category_Komputery,category_Monitory,category_Monitory_LCD,category_Odtwarzacze_DVD,category_Odtwarzacze_mp3_i_mp4,category_Okulary_3D,category_Przenośne_audio_i_video,category_Sprzęt_RTV,category_Słuchawki,category_Tablety,category_Tablety_i_akcesoria,category_Telefony_i_akcesoria,category_Telefony_komórkowe,category_Telefony_stacjonarne,category_Telewizory_i_akcesoria,category_Video,category_Zestawy_głośnomówiące,category_Zestawy_słuchawkowe,Gdynia,Kraków,Poznań,Radom,Szczecin,Warszawa,Wrocław
540,20,102,1,165.0,109.0,193.0,0.7,0.1,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
97,20,102,1,58.97,58.97,58.97,2.7,2.7,2.7,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
201,0,102,0,151.0,109.0,193.0,0.55,0.1,1.0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
190,5,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
1841,5,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.35,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,20,102,1,99.99,99.99,99.99,0.5,0.5,0.5,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0
1031,0,102,1,221.96,86.28,327.47,2.3,0.9,3.8,0.38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,1,0
194,0,102,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1474,0,102,0,43.4,17.9,78.9,2.4,0.0,4.7,0.39,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1083,15,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.37,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
332,10,102,1,871.52,207.33,2199.9,2.6,2.5,2.8,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0
1143,15,102,1,41.27,17.9,78.9,2.61,0.0,4.7,0.4,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
817,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0
1009,0,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.4,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
780,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,1,0
1324,0,102,0,114.17,44.99,189.0,1.37,0.2,3.7,0.38,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,1,0
1344,0,102,0,43.4,17.9,78.9,2.4,0.0,4.7,0.38,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
30,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
1453,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.36,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403,10,102,1,69.5,64.8,78.9,3.2,0.4,4.6,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
715,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0
1445,10,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.36,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1261,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.37,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1414,5,102,1,88.87,59.9,129.0,1.93,0.3,4.5,0.35,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1657,0,102,0,114.17,44.99,189.0,1.37,0.2,3.7,0.37,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,1,0
0,0,102,0,58.97,58.97,58.97,2.7,2.7,2.7,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1253,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.35,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
244,0,102,0,71.85,64.8,78.9,2.5,0.4,4.6,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,10,102,1,58.97,58.97,58.97,2.7,2.7,2.7,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
158,0,102,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
291,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
1611,0,102,0,114.17,44.99,189.0,1.37,0.2,3.7,0.34,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,1,0
608,20,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,20,102,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.33,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,102,0,58.97,58.97,58.97,2.7,2.7,2.7,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1788,15,102,1,88.87,59.9,129.0,1.93,0.3,4.5,0.32,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1109,0,102,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.33,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
233,0,102,1,2150.34,1816.97,2317.02,1.53,0.2,4.2,0.32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
544,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0
956,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.33,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
695,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,1,0
158,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
415,5,102,1,165.0,109.0,193.0,0.7,0.1,1.0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
880,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,1,0
1846,20,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.32,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1310,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.33,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
436,5,102,1,165.0,109.0,193.0,0.7,0.1,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
1244,5,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.33,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1486,0,102,0,114.17,44.99,189.0,1.37,0.2,3.7,0.34,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,1,0
1256,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.34,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1098,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.33,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,20,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0
1055,0,102,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.33,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178,5,102,1,871.52,207.33,2199.9,2.6,2.5,2.8,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0
898,10,102,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.33,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1347,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.34,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
273,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
386,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,1,0
22,0,102,0,151.0,109.0,193.0,0.55,0.1,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
1178,15,102,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.32,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
266,15,102,0,71.85,64.8,78.9,2.5,0.4,4.6,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0,102,0,71.85,64.8,78.9,2.5,0.4,4.6,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,0,102,0,71.85,64.8,78.9,2.5,0.4,4.6,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0
872,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.31,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1184,0,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.31,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1404,15,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.31,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1434,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.31,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1242,0,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.31,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
161,10,102,1,553.0,553.0,553.0,4.7,4.7,4.7,0.31,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
371,15,102,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,1,0
992,15,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.32,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1262,20,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.32,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
520,20,102,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,1,0
1721,5,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.32,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
175,20,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0
97,15,102,1,69.5,64.8,78.9,3.2,0.4,4.6,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
542,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,1,0
103,15,102,1,165.0,109.0,193.0,0.7,0.1,1.0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
